name,class,fault_id,county,length_km,time,slip_rate
moraga fault,A,376,contra costa,44,undifferentiated Quaternary (<1.6 Ma),Unspecified
morales fault,A,491,san luis obispo,11,undifferentiated Quaternary (<1.6 Ma),Unspecified
mosquito creek fault,A,210,plumas,19,undifferentiated Quaternary (<1.6 Ma),Unspecified
mountain home fault zone,A,525,sonoma,7,undifferentiated Quaternary (<1.6 Ma),Unspecified
mount diablo thrust fault,A,353,alameda,32,undifferentiated Quaternary (<1.6 Ma),Between 1.0 and 5.0 mm/yr
mount eden fault,A,418,riverside,7,undifferentiated Quaternary (<1.6 Ma),Unspecified
mt. general fault,A,343,san bernardino,23,latest Quaternary (<15 ka),Unspecified
mt. jackson fault zone,A,526,sonoma,7,undifferentiated Quaternary (<1.6 Ma),Unspecified
mt. poso fault,A,384,kern,15,undifferentiated Quaternary (<1.6 Ma),Unspecified
murphy canyon fault,A,303,san diego,5,undifferentiated Quaternary (<1.6 Ma),Unspecified
murrietta hot springs fault,A,298,riverside,16,late Quaternary (<130 ka),Unspecified
nelson corral fault,A,177,lassen,34,late Quaternary (<130 ka),Unspecified
new hope fault,A,383,kern,13,undifferentiated Quaternary (<1.6 Ma),Unspecified
